, 1
, 1
, 1
, 1
, 1
, 1
, 1
, 1
, 1
, 139, 0.00, 1
, 142, 0.00, 1
, 142, 0.00, 1
, 141, 0.00, 1
, 141, 0.00, 1
, 135, 0.00, 1
, 132, 0.00, 1
, 129, 0.00, 1
, 125, 0.00, 1
, 119, 0.00, 1
, 112, 0.00, 1
, 105, 0.00, 1
, 100, 0.00, 1
, 91, 0.00, 1
, 86, 0.00, 1
, 77, 0.00, 1
, 74, 0.00, 1
, 69, 0.00, 1
, 63, 0.00, 1
, 61, 0.00, 1
, 57, 0.00, 1
, 56, 0.00, 1
, 56, 0.00, 1
, 59, 0.00, 1
, 55, 0.00, 1
, 56, 0.00, 1
, 57, 0.00, 1
, 1
, 61, 0.00, 1
, 1
, 1
